 11 5724.738425 1.012E-26 2.263E-02.07630.412 2004.81540.69-.011640          1 0 1          0 1 0  5  3  3        4  3  2      4542234433257122 7    33.0   27.0
 11 5724.742075 3.700E-27 7.344E+00.03080.208 3639.53690.35-.013672          0 1 1          0 0 0 17  5 13       16  5 12      374223443331712211   105.0   99.0
 11 5724.827214 7.494E-25 7.280E-04.08700.392  446.51070.670.002000          1 1 0          0 0 0  6  5  2        5  2  3      465520443311572246    39.0   33.0
 11 5724.943324 5.648E-29 6.286E-02.03510.221 3269.53860.37-.012572          0 1 1          0 0 0 15  7  8       15  5 11      344233443231712211    31.0   31.0
 11 5724.951560 7.288E-23 1.029E-01.07470.394  552.91140.63-.001199          0 1 1          0 0 0  7  4  4        6  2  5      578421303382662234    45.0   39.0
 13 5724.989032 1.210E-29 3.118E-02.08200.347 1738.02760.72-.004999          2 0 0          0 1 0  3  3  0        2  2  1      564440463611572245   126.0   90.0
 13 5725.002329 1.240E-29 1.130E-01.07600.350 2125.17870.67-.016999          0 2 1          0 1 0  6  5  1        5  3  2      565540463611572245   234.0  198.0
 11 5725.159505 1.587E-29 7.055E-02.09200.434 3299.99100.71-.008387          1 1 1          0 2 0  4  1  4        3  1  3      4442334432257122 7     9.0    7.0
 14 5725.328494 1.314E-29 1.036E-03.07580.298 1024.56840.510.001876          0 4 0          0 0 0 10  4  6       10  3  7      3641035041297122 8   126.0  126.0
 11 5725.406552 8.073E-29 2.602E-05.07160.298 1718.71850.51-.020132          0 4 0          0 0 0  9  2  7       10  5  6      4442334432287122 8    57.0   63.0
 13 5725.629922 8.650E-29 1.248E-03.07190.371  601.98440.630.000000         -2-2-2          0 0 0  7 -1 -1        6  2  4      0522234636917122 0    90.0   78.0
 11 5725.643365 6.371E-29 3.428E-03.02220.221 2872.27310.370.000000          1 1 0          0 0 0 15  5 10       15  2 13      2442334432317122 0    93.0   93.0
 14 5725.721704 1.171E-29 4.543E-04.07200.333  809.39330.57-.009844          0 4 0          0 0 0  7  5  3        8  4  4      4641035041287122 8    90.0  102.0
 11 5725.750100 1.648E-26 5.963E+00.03420.227 3264.33620.40-.017772          0 1 1          0 0 0 15  7  9       14  7  8      374423443331572211    93.0   87.0
 13 5725.756005 1.340E-29 2.575E-03.06700.352 1386.44100.610.000000         -2-2-2          0 0 0  8 -2 -1        7  7  0      0422234636917122 0   306.0  270.0
 14 5725.820664 1.569E-29 1.609E-02.07030.250 1618.70040.41-.016808          1 2 0          0 0 0 14  3 11       13  3 10      2641035141297122 9   174.0  162.0
 11 5725.840096 7.831E-27 2.803E-02.08960.497 1875.46930.69-.005535          2 0 0          0 1 0  5  2  4        4  1  3      4744234433255722 7    11.0    9.0
 13 5726.029954 1.050E-28 5.206E-02.05810.315 1624.88710.550.000000         -2-2-2          0 0 0 10 -1 -2        9  6  3      0622234636917122 0   378.0  342.0
 11 5726.040918 6.768E-29 8.004E-03.01780.281 2972.82810.47-.015958          0 3 0          0 0 0 11 11  0       11 10  1      3442334432297122 9    69.0   69.0
 11 5726.040941 2.256E-29 8.004E-03.01780.281 2972.82810.47-.015937          0 3 0          0 0 0 11 11  1       11 10  2      2442334432297122 9    23.0   23.0
 13 5726.191528 3.470E-29 5.158E-02.05810.315 1624.73840.550.000000         -2-2-2          0 0 0 10 -1 -1        9  6  4      0622234636917122 0   126.0  114.0
 11 5726.199561 1.163E-29 6.001E-02.07560.412 3597.86620.69-.007712          0 3 1          0 2 0  5  5  1        4  3  2      4442334432257122 7    33.0   27.0
 11 5726.219689 3.890E-25 2.196E-04.08360.369  300.36230.69-.004327          1 1 0          0 0 0  5  5  0        4  2  3      4647234433285722 8    33.0   27.0
 12 5726.523610 3.350E-29 2.248E-02.08320.363 1899.60930.69-.011205          1 0 1          0 1 0  5  2  4        4  2  3      5545434836255722 7    33.0   27.0
 11 5726.525739 4.019E-29 7.051E-02.09330.434 3334.62650.71-.006595          2 1 0          0 2 0  4  2  3        3  1  2      4442334432257122 7    27.0   21.0
 14 5726.552745 1.179E-29 4.557E-04.07900.333  808.56290.57-.007544          0 4 0          0 0 0  7  5  2        8  4  5      4641035041257122 7    90.0  102.0
 11 5726.592079 1.524E-28 1.373E-04.06140.298 1724.70470.51-.012407          0 3 0          0 0 0 10  8  2       10  5  5      3442334432297122 9    21.0   21.0
 11 5726.751646 9.989E-27 2.257E-02.09200.344 1739.48370.71-.008387          1 0 1          0 1 0  4  1  4        3  1  3      4643234433255722 7     9.0    7.0
 11 5727.101660 1.828E-25 1.732E-03.04740.341  744.06370.57-.010798          0 1 1          0 0 0  8  4  5        8  0  8      574723303330572210    17.0   17.0
 11 5727.125010 2.157E-27 1.925E-02.03470.250 2248.06320.41-.014647          0 1 1          0 0 0 13  5  8       13  3 11      474223443331712211    27.0   27.0
 11 5727.374061 4.485E-26 5.169E-01.06300.352 2300.68410.44-.019307          1 1 0          0 0 0 13  6  8       12  5  7      3747234433295722 9    27.0   25.0
 11 5727.430381 2.749E-28 3.056E-03.08040.371 2398.38160.63-.014148          0 0 2          0 1 0  7  1  6        6  4  3      4442434432287122 7    45.0   39.0
 11 5727.462963 2.546E-29 1.765E-04.07580.371 2271.71190.63-.007823          1 2 0          0 1 0  6  6  1        6  3  4      4442334432287122 8    39.0   39.0
 12 5727.473400 2.800E-29 4.565E-02.05120.398 2171.74100.61-.011463          2 0 0          0 1 0  8  1  8        7  0  7      5645834836255722 7    51.0   45.0
 11 5727.489440 2.811E-27 7.690E-03.08480.439 2004.81540.69-.012675          0 0 2          0 1 0  4  2  3        4  3  2      3744234433255722 7    27.0   27.0
 12 5727.492200 1.760E-27 7.374E-04.08600.400  445.34620.63-.005999          1 1 0          0 0 0  7  4  3        6  1  6      556540483611572245    45.0   39.0
 13 5727.611390 6.950E-28 2.154E-03.09800.433  221.62080.69-.003456          0 1 1          0 0 0  5  4  1        4  0  4      6666435436115722 8    66.0   54.0
 11 5727.969129 5.485E-27 6.022E+00.03650.221 3266.51280.40-.019472          0 1 1          0 0 0 15  7  8       14  7  7      374523443331572211    31.0   29.0
 11 5727.969293 1.542E-28 3.376E-03.04740.333 2337.46310.57-.010798          0 2 1          0 1 0  8  4  5        8  0  8      444233443230712210    17.0   17.0
 11 5728.000491 1.867E-28 2.778E-04.08320.391 1920.76570.67-.004906          1 0 1          0 1 0  5  2  4        5  0  5      4442334432257122 7    33.0   33.0
 11 5728.064626 3.789E-28 4.322E-05.06250.333 1255.91150.57-.010664          0 3 0          0 0 0  8  8  0        8  5  3      3542234433287122 8    17.0   17.0
 11 5728.175753 1.306E-26 9.341E-03.09720.419 1677.06140.72-.001415          2 0 0          0 1 0  3  2  1        2  1  2      4744234433255722 7    21.0   15.0
 12 5728.339950 4.260E-29 1.887E-02.08100.141 1814.08720.69-.006890          1 0 1          0 1 0  5  1  5        4  1  4      5544434836255722 7    33.0   27.0
 11 5728.576991 7.464E-28 1.140E-02.04570.315 2512.28250.55-.016748          2 0 0          0 1 0  9  1  8        9  0  9      4742234433287122 7    57.0   57.0
 11 5728.593144 1.561E-29 6.375E-04.06950.352 2439.95430.61-.006334          1 2 0          0 1 0  7  6  2        7  3  5      4442334432287122 8    15.0   15.0
 11 5728.620931 2.836E-27 6.905E+00.03640.120 3443.18980.37-.015972          0 1 1          0 0 0 16  6 11       15  6 10      374423443331572211    33.0   31.0
 11 5728.660117 9.392E-29 1.039E-02.08820.333 2670.78960.57-.015274          0 0 2          0 1 0  8  2  6        8  3  5      4442534432287122 8    17.0   17.0
 11 5728.684235 8.396E-28 8.380E-05.06100.566 1477.29720.55-.009721          0 3 0          0 0 0  9  8  1        9  5  4      3645234433285722 8    57.0   57.0
 12 5728.699620 9.420E-28 1.776E-03.07800.397  780.45280.61-.003607          1 1 0          0 0 0  8  5  4        7  2  5      5547434836285722 7    51.0   45.0
 11 5728.768572 3.015E-29 7.022E-02.08780.434 3392.74930.71-.009046          1 1 1          0 2 0  4  2  2        3  2  1      4442334432257122 7    27.0   21.0
 11 5728.809525 1.135E-27 4.301E-05.06070.434 1255.16660.57-.011036          0 3 0          0 0 0  8  8  1        8  5  4      4543234433285722 8    51.0   51.0
 12 5728.819430 5.040E-28 3.555E-03.09400.266 1074.76330.55-.012999          0 1 1          0 0 0  9  5  5        9  1  8      564540483611572245    57.0   57.0
 11 5728.962859 1.027E-28 7.234E-02.04250.315 3321.01320.55-.015134          1 2 0          0 1 0 10  7  4        9  6  3      4442334432287122 8    63.0   57.0
 14 5729.025195 2.711E-29 1.422E-02.06200.265 1465.82940.44-.019488          1 2 0          0 0 0 13  4 10       12  4  9      3641035041297122 7   162.0  150.0
 13 5729.030050 1.740E-26 6.097E-02.07880.394  507.17430.67-.005099          0 1 1          0 0 0  6  5  1        5  3  2      568541303682662234   234.0  198.0
 11 5729.050417 3.417E-29 7.218E-02.04230.315 3320.92970.55-.018013          1 2 0          0 1 0 10  7  3        9  6  4      3442334432297122 8    21.0   19.0
 11 5729.141694 1.094E-28 4.539E-03.05960.315 2512.37520.55-.016005          1 2 0          0 1 0 10  2  8        9  1  9      4442334432287122 8    21.0   19.0
 11 5729.301826 1.404E-27 7.755E+00.03630.208 3623.76310.35-.003672          0 1 1          0 0 0 17  4 13       16  4 12      374223443331712211    35.0   33.0
 11 5729.409887 3.684E-27 2.489E-02.08070.420 2005.91670.69-.008228          1 0 1          0 1 0  5  3  2        4  3  1      4644234433255722 7    11.0    9.0
 11 5729.454730 2.585E-28 1.185E-02.04880.315 2512.37520.55-.011015          2 0 0          0 1 0  9  2  8        9  1  9      4442334432257122 7    19.0   19.0
 11 5729.466629 1.016E-26 3.012E-02.08770.389 1743.48630.72-.007423          2 0 0          0 1 0  3  3  1        2  2  0      4743234433255722 7     7.0    5.0
 11 5729.504351 1.635E-29 9.358E-02.03990.298 3770.71070.51-.015510          0 0 2          0 1 0 11  6  5       10  7  4      4442334432297122 9    69.0   63.0
