"SamplePeriod","TriggerSample","CompressedData"
"0.00000002","4112","True"
"SampleNumber","DSP_I2C0","DSP_I2C1","Clock2","Clock1","ADCout","Data0","Data1","Data2","Data3","Data4","Data5","Data6","Data7","Data8","Data9","Data10","Data11","Data12","Data13"
"1416","","","1","0","0FB9h","1","0","0","1","1","1","0","1","1","1","1","1","0","0"
"1424","","","1","0","0F43h","1","1","0","0","0","0","1","0","1","1","1","1","0","0"
"1432","","","1","0","0ED3h","1","1","0","0","1","0","1","1","0","1","1","1","0","0"
"1440","","","1","0","0E5Ch","0","0","1","1","1","0","1","0","0","1","1","1","0","0"
"1448","","","1","0","0DE6h","0","1","1","0","0","1","1","1","1","0","1","1","0","0"
"1456","","","1","0","0D72h","0","1","0","0","1","1","1","0","1","0","1","1","0","0"
"1464","","","1","0","0CFEh","0","1","1","1","1","1","1","1","0","0","1","1","0","0"
"1472","","","1","0","0C87h","1","1","1","0","0","0","0","1","0","0","1","1","0","0"
"1480","","","1","0","0C12h","0","1","0","0","1","0","0","0","0","0","1","1","0","0"
"1488","","","1","0","0BA1h","1","0","0","0","0","1","0","1","1","1","0","1","0","0"
"1496","","","1","0","0B28h","0","0","0","1","0","1","0","0","1","1","0","1","0","0"
"1504","","","1","0","0AB4h","0","0","1","0","1","1","0","1","0","1","0","1","0","0"
"1512","","","1","0","0A3Eh","0","1","1","1","1","1","0","0","0","1","0","1","0","0"
"1520","","","1","0","09CFh","1","1","1","1","0","0","1","1","1","0","0","1","0","0"
"1528","","","1","0","095Ah","0","1","0","1","1","0","1","0","1","0","0","1","0","0"
"1536","","","1","0","08E1h","1","0","0","0","0","1","1","1","0","0","0","1","0","0"
"1544","","","1","0","0870h","0","0","0","0","1","1","1","0","0","0","0","1","0","0"
"1552","","","1","0","0800h","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"1560","","","1","0","0787h","1","1","1","0","0","0","0","1","1","1","1","0","0","0"
"1568","","","1","0","0718h","0","0","0","1","1","0","0","0","1","1","1","0","0","0"
"1576","","","1","0","06A2h","0","1","0","0","0","1","0","1","0","1","1","0","0","0"
"1584","","","1","0","062Dh","1","0","1","1","0","1","0","0","0","1","1","0","0","0"
"1592","","","1","0","05BEh","0","1","1","1","1","1","0","1","1","0","1","0","0","0"
"1600","","","1","0","0544h","0","0","1","0","0","0","1","0","1","0","1","0","0","0"
"1608","","","1","0","04D3h","1","1","0","0","1","0","1","1","0","0","1","0","0","0"
"1616","","","1","0","0465h","1","0","1","0","0","1","1","0","0","0","1","0","0","0"
"1624","","","1","0","0428h","0","0","0","1","0","1","0","0","0","0","1","0","0","0"
"1632","","","1","0","04A0h","0","0","0","0","0","1","0","1","0","0","1","0","0","0"
"1640","","","1","0","0514h","0","0","1","0","1","0","0","0","1","0","1","0","0","0"
"1648","","","1","0","0586h","0","1","1","0","0","0","0","1","1","0","1","0","0","0"
"1656","","","1","0","05F9h","1","0","0","1","1","1","1","1","1","0","1","0","0","0"
"1664","","","1","0","066Fh","1","1","1","1","0","1","1","0","0","1","1","0","0","0"
"1672","","","1","0","06E2h","0","1","0","0","0","1","1","1","0","1","1","0","0","0"
"1680","","","1","0","0757h","1","1","1","0","1","0","1","0","1","1","1","0","0","0"
"1688","","","1","0","07C6h","0","1","1","0","0","0","1","1","1","1","1","0","0","0"
"1696","","","1","0","083Bh","1","1","0","1","1","1","0","0","0","0","0","1","0","0"
"1704","","","1","0","08B1h","1","0","0","0","1","1","0","1","0","0","0","1","0","0"
"1712","","","1","0","091Fh","1","1","1","1","1","0","0","0","1","0","0","1","0","0"
"1720","","","1","0","0996h","0","1","1","0","1","0","0","1","1","0","0","1","0","0"
