"SamplePeriod","TriggerSample","CompressedData"
"0.00000002","1022","True"
"SampleNumber","DSP_I2C0","DSP_I2C1","Clock2","Clock1","ADCout","Data0","Data1","Data2","Data3","Data4","Data5","Data6","Data7","Data8","Data9","Data10","Data11","Data12","Data13"
"270","","","1","0","12F7h","1","1","1","0","1","1","1","1","0","1","0","0","1","0"
"272","","","1","0","12DAh","0","1","0","1","1","0","1","1","0","1","0","0","1","0"
"274","","","1","0","12BDh","1","0","1","1","1","1","0","1","0","1","0","0","1","0"
"276","","","1","0","129Eh","0","1","1","1","1","0","0","1","0","1","0","0","1","0"
"278","","","1","0","1281h","1","0","0","0","0","0","0","1","0","1","0","0","1","0"
"280","","","1","0","1266h","0","1","1","0","0","1","1","0","0","1","0","0","1","0"
"282","","","1","0","1246h","0","1","1","0","0","0","1","0","0","1","0","0","1","0"
"284","","","1","0","1229h","1","0","0","1","0","1","0","0","0","1","0","0","1","0"
"286","","","1","0","1209h","1","0","0","1","0","0","0","0","0","1","0","0","1","0"
"288","","","1","0","11EAh","0","1","0","1","0","1","1","1","1","0","0","0","1","0"
"290","","","1","0","11D0h","0","0","0","0","1","0","1","1","1","0","0","0","1","0"
"292","","","1","0","11B3h","1","1","0","0","1","1","0","1","1","0","0","0","1","0"
"294","","","1","0","1194h","0","0","1","0","1","0","0","1","1","0","0","0","1","0"
"296","","","1","0","1178h","0","0","0","1","1","1","1","0","1","0","0","0","1","0"
"298","","","1","0","1159h","1","0","0","1","1","0","1","0","1","0","0","0","1","0"
"300","","","1","0","113Fh","1","1","1","1","1","1","0","0","1","0","0","0","1","0"
"302","","","1","0","1120h","0","0","0","0","0","1","0","0","1","0","0","0","1","0"
"304","","","1","0","1101h","1","0","0","0","0","0","0","0","1","0","0","0","1","0"
"306","","","1","0","10E6h","0","1","1","0","0","1","1","1","0","0","0","0","1","0"
"308","","","1","0","10C7h","1","1","1","0","0","0","1","1","0","0","0","0","1","0"
"310","","","1","0","10AAh","0","1","0","1","0","1","0","1","0","0","0","0","1","0"
"312","","","1","0","108Dh","1","0","1","1","0","0","0","1","0","0","0","0","1","0"
"314","","","1","0","1070h","0","0","0","0","1","1","1","0","0","0","0","0","1","0"
"316","","","1","0","1056h","0","1","1","0","1","0","1","0","0","0","0","0","1","0"
"318","","","1","0","1035h","1","0","1","0","1","1","0","0","0","0","0","0","1","0"
"320","","","1","0","1017h","1","1","1","0","1","0","0","0","0","0","0","0","1","0"
"322","","","1","0","0FF9h","1","0","0","1","1","1","1","1","1","1","1","1","0","0"
"324","","","1","0","0FDFh","1","1","1","1","1","0","1","1","1","1","1","1","0","0"
"326","","","1","0","0FC2h","0","1","0","0","0","0","1","1","1","1","1","1","0","0"
"328","","","1","0","0FA1h","1","0","0","0","0","1","0","1","1","1","1","1","0","0"
"330","","","1","0","0F85h","1","0","1","0","0","0","0","1","1","1","1","1","0","0"
"332","","","1","0","0F69h","1","0","0","1","0","1","1","0","1","1","1","1","0","0"
"334","","","1","0","0F4Fh","1","1","1","1","0","0","1","0","1","1","1","1","0","0"
"336","","","1","0","0F2Fh","1","1","1","1","0","1","0","0","1","1","1","1","0","0"
"338","","","1","0","0F0Fh","1","1","1","1","0","0","0","0","1","1","1","1","0","0"
"340","","","1","0","0EF2h","0","1","0","0","1","1","1","1","0","1","1","1","0","0"
"342","","","1","0","0ED7h","1","1","1","0","1","0","1","1","0","1","1","1","0","0"
"344","","","1","0","0EBCh","0","0","1","1","1","1","0","1","0","1","1","1","0","0"
