y_parameter,  pressure,   date_time,     slope, intercept,                         comment
          ,          ,            ,          ,          ,         scale(orig)=6.91025e-05
          ,          ,            ,          ,          ,         offset(orig)=   4.87118
          ,          ,            ,          ,          ,                  P(atm)=759.065
          ,          ,            ,          ,          ,             P(cav_open)=758.597
    0.4455,   45.4608,1491957032.2,  117.3457,   -7.3397,                                
    0.4366,   44.9433,1491957036.2,  117.3524,   -7.3483,                                
    0.4329,   44.3916,1491957040.4,  117.3524,   -7.3483,                                
    0.4381,   43.8962,1491957044.4,  117.3524,   -7.3483,                                
    0.4227,   43.4229,1491957048.3,  117.2614,   -7.2422,                                
    0.4223,   42.9285,1491957052.2,  117.2614,   -7.2422,                                
    0.4173,   42.4152,1491957056.5,  117.2754,   -7.2586,                                
    0.4084,   41.9324,1491957060.4,  117.2528,   -7.2323,                                
    0.4085,   41.4321,1491957064.6,  117.2622,   -7.2432,                                
    0.4008,   40.9557,1491957068.6,  117.2622,   -7.2432,                                
    0.3998,   40.4720,1491957072.6,  117.2469,   -7.2255,                                
    0.3959,   39.9892,1491957076.6,  117.2554,   -7.2353,                                
    0.3885,   39.5381,1491957080.5,  117.2554,   -7.2353,                                
    0.3892,   39.0915,1491957084.4,  117.2539,   -7.2336,                                
    0.3810,   38.6244,1491957088.5,  117.2339,   -7.2162,                                
    0.3753,   38.2059,1491957092.4,  117.2137,   -7.1931,                                
    0.3778,   37.7614,1491957096.4,  117.2137,   -7.1931,                                
    0.3737,   37.3315,1491957100.2,  117.2070,   -7.1854,                                
    0.3627,   36.8977,1491957104.1,  117.1946,   -7.1712,                                
    0.3645,   36.4707,1491957108.1,  117.1946,   -7.1712,                                
    0.3566,   36.0331,1491957112.2,  117.1689,   -7.1419,                                
    0.3605,   35.6166,1491957116.2,  117.1497,   -7.1200,                                
    0.3522,   35.2059,1491957120.2,  117.1497,   -7.1200,                                
    0.3537,   34.8051,1491957124.3,  117.1369,   -7.1055,                                
    0.3423,   34.3979,1491957128.3,  117.1045,   -7.0687,                                
    0.3454,   33.9848,1491957132.4,  117.1045,   -7.0687,                                
    0.3368,   33.5958,1491957136.3,  117.0568,   -7.0256,                                
    0.3408,   33.2114,1491957140.1,  117.0568,   -7.0256,                                
    0.3284,   32.8293,1491957144.2,  117.0331,   -7.0006,                                
    0.3304,   32.4461,1491957148.2,  117.0114,   -6.9764,                                
    0.3244,   32.0675,1491957152.4,  117.0114,   -6.9764,                                
    0.3226,   31.6840,1491957156.5,  116.9756,   -6.9364,                                
    0.3131,   31.3157,1491957160.5,  116.9756,   -6.9364,                                
    0.3140,   30.9787,1491957164.4,  116.9446,   -6.9018,                                
    0.3103,   30.6095,1491957168.5,  116.9162,   -6.8703,                                
    0.3058,   30.2416,1491957172.7,  116.9162,   -6.8703,                                
    0.3038,   29.9095,1491957176.6,  116.8754,   -6.8249,                                
    0.2961,   29.5901,1491957180.5,  116.8754,   -6.8249,                                
    0.2960,   29.2776,1491957184.4,  116.8415,   -6.7874,                                
    0.2883,   28.9724,1491957188.3,  116.8415,   -6.7874,                                
    0.2891,   28.6671,1491957192.1,  116.8252,   -6.7692,                                
    0.2928,   28.3618,1491957196.0,  116.8252,   -6.7692,                                
    0.2805,   28.0413,1491957200.0,  116.8191,   -6.7626,                                
    0.2844,   27.7357,1491957203.9,  116.8191,   -6.7626,                                
    0.2806,   27.4407,1491957208.0,  116.7963,   -6.7374,                                
    0.2820,   27.1797,1491957211.7,  116.7963,   -6.7374,                                
    0.2777,   26.9030,1491957215.7,  116.7783,   -6.7175,                                
    0.2699,   26.6191,1491957219.8,  116.7783,   -6.7175,                                
    0.2749,   26.3402,1491957223.8,  116.7953,   -6.7363,                                
    0.2634,   26.0601,1491957227.8,  116.7953,   -6.7363,                                
    0.2688,   25.7927,1491957231.8,  116.7705,   -6.7090,                                
    0.2663,   25.5544,1491957235.7,  116.7705,   -6.7090,                                
    0.2630,   25.3065,1491957239.6,  116.7603,   -6.6978,                                
    0.2600,   25.0650,1491957243.5,  116.7603,   -6.6978,                                
    0.2550,   24.8111,1491957247.6,  116.7119,   -6.6580,                                
    0.2534,   24.5580,1491957251.7,  116.7119,   -6.6580,                                
    0.2467,   24.3205,1491957255.7,  116.6833,   -6.6269,                                
    0.2502,   24.0936,1491957259.7,  116.6833,   -6.6269,                                
    0.2472,   23.8770,1491957263.6,  116.6833,   -6.6269,                                
    0.2530,   23.6606,1491957267.6,  116.6713,   -6.6138,                                
    0.2455,   23.4434,1491957271.5,  116.6713,   -6.6138,                                
    0.2503,   23.2417,1491957275.3,  116.6472,   -6.5877,                                
    0.2454,   23.0264,1491957279.4,  116.6472,   -6.5877,                                
    0.2450,   22.8409,1491957283.2,  116.6472,   -6.5877,                                
    0.2374,   22.6514,1491957287.1,  116.6168,   -6.5613,                                
    0.2371,   22.4568,1491957291.2,  116.6168,   -6.5613,                                
    0.2338,   22.2654,1491957295.3,  116.6168,   -6.5613,                                
    0.2427,   22.0792,1491957299.2,  116.6057,   -6.5493,                                
    0.2268,   21.8916,1491957303.3,  116.6072,   -6.5503,                                
    0.2338,   21.7274,1491957307.2,  116.6072,   -6.5503,                                
    0.2237,   21.5557,1491957311.2,  116.5839,   -6.5254,                                
    0.2302,   21.3940,1491957315.1,  116.5839,   -6.5254,                                
    0.2281,   21.2414,1491957319.0,  116.5839,   -6.5254,                                
    0.2203,   21.0912,1491957322.9,  116.5767,   -6.5177,                                
    0.2247,   20.9363,1491957326.9,  116.5767,   -6.5177,                                
    0.2264,   20.8035,1491957330.7,  116.5767,   -6.5177,                                
    0.2178,   20.6579,1491957334.5,  116.5558,   -6.4954,                                
    0.2209,   20.5225,1491957338.4,  116.5558,   -6.4954,                                
    0.2176,   20.3811,1491957342.4,  116.5558,   -6.4954,                                
    0.2182,   20.2451,1491957346.3,  116.5558,   -6.4954,                                
    0.2180,   20.1231,1491957350.2,  116.5283,   -6.4661,                                
    0.2202,   19.9975,1491957354.1,  116.5283,   -6.4661,                                
    0.2080,   19.8665,1491957358.0,  116.5283,   -6.4661,                                
    0.2205,   19.7561,1491957361.8,  116.5283,   -6.4661,                                
