"SamplePeriod","TriggerSample","CompressedData"
"0.00000002","1213","True"
"SampleNumber","DSP_I2C0","DSP_I2C1","Clock2","Clock1","ADCout","Data0","Data1","Data2","Data3","Data4","Data5","Data6","Data7","Data8","Data9","Data10","Data11","Data12","Data13"
"418","","","1","0","040Fh","1","1","1","1","0","0","0","0","0","0","1","0","0","0"
"420","","","1","0","040Eh","0","1","1","1","0","0","0","0","0","0","1","0","0","0"
"424","","","1","0","040Bh","1","1","0","1","0","0","0","0","0","0","1","0","0","0"
"426","","","1","0","040Dh","1","0","1","1","0","0","0","0","0","0","1","0","0","0"
"428","","","1","0","0411h","1","0","0","0","1","0","0","0","0","0","1","0","0","0"
"430","","","1","0","0410h","0","0","0","0","1","0","0","0","0","0","1","0","0","0"
"432","","","1","0","040Fh","1","1","1","1","0","0","0","0","0","0","1","0","0","0"
"434","","","1","0","040Dh","1","0","1","1","0","0","0","0","0","0","1","0","0","0"
"438","","","1","0","040Fh","1","1","1","1","0","0","0","0","0","0","1","0","0","0"
"440","","","1","0","040Ch","0","0","1","1","0","0","0","0","0","0","1","0","0","0"
"442","","","1","0","040Eh","0","1","1","1","0","0","0","0","0","0","1","0","0","0"
"444","","","1","0","040Ch","0","0","1","1","0","0","0","0","0","0","1","0","0","0"
"446","","","1","0","040Eh","0","1","1","1","0","0","0","0","0","0","1","0","0","0"
"448","","","1","0","040Ah","0","1","0","1","0","0","0","0","0","0","1","0","0","0"
"450","","","1","0","040Dh","1","0","1","1","0","0","0","0","0","0","1","0","0","0"
"452","","","1","0","0410h","0","0","0","0","1","0","0","0","0","0","1","0","0","0"
"454","","","1","0","040Fh","1","1","1","1","0","0","0","0","0","0","1","0","0","0"
"456","","","1","0","040Bh","1","1","0","1","0","0","0","0","0","0","1","0","0","0"
"458","","","1","0","040Dh","1","0","1","1","0","0","0","0","0","0","1","0","0","0"
"460","","","1","0","040Ch","0","0","1","1","0","0","0","0","0","0","1","0","0","0"
"462","","","1","0","040Dh","1","0","1","1","0","0","0","0","0","0","1","0","0","0"
"464","","","1","0","040Ch","0","0","1","1","0","0","0","0","0","0","1","0","0","0"
"466","","","1","0","040Eh","0","1","1","1","0","0","0","0","0","0","1","0","0","0"
"472","","","1","0","0410h","0","0","0","0","1","0","0","0","0","0","1","0","0","0"
"476","","","1","0","0413h","1","1","0","0","1","0","0","0","0","0","1","0","0","0"
"478","","","1","0","040Eh","0","1","1","1","0","0","0","0","0","0","1","0","0","0"
"480","","","1","0","040Fh","1","1","1","1","0","0","0","0","0","0","1","0","0","0"
"482","","","1","0","0411h","1","0","0","0","1","0","0","0","0","0","1","0","0","0"
"484","","","1","0","0414h","0","0","1","0","1","0","0","0","0","0","1","0","0","0"
"486","","","1","0","0411h","1","0","0","0","1","0","0","0","0","0","1","0","0","0"
"488","","","1","0","0410h","0","0","0","0","1","0","0","0","0","0","1","0","0","0"
"490","","","1","0","0412h","0","1","0","0","1","0","0","0","0","0","1","0","0","0"
"492","","","1","0","0411h","1","0","0","0","1","0","0","0","0","0","1","0","0","0"
"494","","","1","0","040Fh","1","1","1","1","0","0","0","0","0","0","1","0","0","0"
"496","","","1","0","0410h","0","0","0","0","1","0","0","0","0","0","1","0","0","0"
"498","","","1","0","040Dh","1","0","1","1","0","0","0","0","0","0","1","0","0","0"
"500","","","1","0","040Eh","0","1","1","1","0","0","0","0","0","0","1","0","0","0"
"502","","","1","0","0411h","1","0","0","0","1","0","0","0","0","0","1","0","0","0"
"504","","","1","0","0410h","0","0","0","0","1","0","0","0","0","0","1","0","0","0"
"506","","","1","0","040Eh","0","1","1","1","0","0","0","0","0","0","1","0","0","0"
"512","","","1","0","040Fh","1","1","1","1","0","0","0","0","0","0","1","0","0","0"
"516","","","1","0","040Eh","0","1","1","1","0","0","0","0","0","0","1","0","0","0"
"520","","","1","0","0410h","0","0","0","0","1","0","0","0","0","0","1","0","0","0"
"522","","","1","0","0411h","1","0","0","0","1","0","0","0","0","0","1","0","0","0"
"528","","","1","0","040Ch","0","0","1","1","0","0","0","0","0","0","1","0","0","0"
"530","","","1","0","040Fh","1","1","1","1","0","0","0","0","0","0","1","0","0","0"
"532","","","1","0","0411h","1","0","0","0","1","0","0","0","0","0","1","0","0","0"
"534","","","1","0","0410h","0","0","0","0","1","0","0","0","0","0","1","0","0","0"
"536","","","1","0","0411h","1","0","0","0","1","0","0","0","0","0","1","0","0","0"
"538","","","1","0","040Fh","1","1","1","1","0","0","0","0","0","0","1","0","0","0"
"540","","","1","0","0413h","1","1","0","0","1","0","0","0","0","0","1","0","0","0"
"542","","","1","0","0412h","0","1","0","0","1","0","0","0","0","0","1","0","0","0"
"544","","","1","0","040Fh","1","1","1","1","0","0","0","0","0","0","1","0","0","0"
"546","","","1","0","0410h","0","0","0","0","1","0","0","0","0","0","1","0","0","0"
"554","","","1","0","0414h","0","0","1","0","1","0","0","0","0","0","1","0","0","0"
"556","","","1","0","040Ch","0","0","1","1","0","0","0","0","0","0","1","0","0","0"
"558","","","1","0","0410h","0","0","0","0","1","0","0","0","0","0","1","0","0","0"
"560","","","1","0","0411h","1","0","0","0","1","0","0","0","0","0","1","0","0","0"
"562","","","1","0","0410h","0","0","0","0","1","0","0","0","0","0","1","0","0","0"
"564","","","1","0","040Dh","1","0","1","1","0","0","0","0","0","0","1","0","0","0"
"566","","","1","0","040Eh","0","1","1","1","0","0","0","0","0","0","1","0","0","0"
"568","","","1","0","040Fh","1","1","1","1","0","0","0","0","0","0","1","0","0","0"
"570","","","1","0","040Bh","1","1","0","1","0","0","0","0","0","0","1","0","0","0"
"572","","","1","0","040Dh","1","0","1","1","0","0","0","0","0","0","1","0","0","0"
"574","","","1","0","0410h","0","0","0","0","1","0","0","0","0","0","1","0","0","0"
"576","","","1","0","040Ch","0","0","1","1","0","0","0","0","0","0","1","0","0","0"
"578","","","1","0","040Dh","1","0","1","1","0","0","0","0","0","0","1","0","0","0"
"580","","","1","0","040Ch","0","0","1","1","0","0","0","0","0","0","1","0","0","0"
"582","","","1","0","040Dh","1","0","1","1","0","0","0","0","0","0","1","0","0","0"
"584","","","1","0","040Fh","1","1","1","1","0","0","0","0","0","0","1","0","0","0"
"586","","","1","0","040Eh","0","1","1","1","0","0","0","0","0","0","1","0","0","0"
"588","","","1","0","040Bh","1","1","0","1","0","0","0","0","0","0","1","0","0","0"
"590","","","1","0","040Eh","0","1","1","1","0","0","0","0","0","0","1","0","0","0"
"594","","","1","0","040Ch","0","0","1","1","0","0","0","0","0","0","1","0","0","0"
"596","","","1","0","0410h","0","0","0","0","1","0","0","0","0","0","1","0","0","0"
"600","","","1","0","040Dh","1","0","1","1","0","0","0","0","0","0","1","0","0","0"
"602","","","1","0","040Eh","0","1","1","1","0","0","0","0","0","0","1","0","0","0"
"604","","","1","0","040Ch","0","0","1","1","0","0","0","0","0","0","1","0","0","0"
"606","","","1","0","040Dh","1","0","1","1","0","0","0","0","0","0","1","0","0","0"
"608","","","1","0","040Fh","1","1","1","1","0","0","0","0","0","0","1","0","0","0"
"610","","","1","0","040Eh","0","1","1","1","0","0","0","0","0","0","1","0","0","0"
"612","","","1","0","0410h","0","0","0","0","1","0","0","0","0","0","1","0","0","0"
"614","","","1","0","040Eh","0","1","1","1","0","0","0","0","0","0","1","0","0","0"
"616","","","1","0","040Fh","1","1","1","1","0","0","0","0","0","0","1","0","0","0"
"618","","","1","0","040Eh","0","1","1","1","0","0","0","0","0","0","1","0","0","0"
"620","","","1","0","040Bh","1","1","0","1","0","0","0","0","0","0","1","0","0","0"
"622","","","1","0","040Eh","0","1","1","1","0","0","0","0","0","0","1","0","0","0"
"624","","","1","0","040Dh","1","0","1","1","0","0","0","0","0","0","1","0","0","0"
"626","","","1","0","040Eh","0","1","1","1","0","0","0","0","0","0","1","0","0","0"
"628","","","1","0","0410h","0","0","0","0","1","0","0","0","0","0","1","0","0","0"
"630","","","1","0","040Eh","0","1","1","1","0","0","0","0","0","0","1","0","0","0"
"634","","","1","0","040Fh","1","1","1","1","0","0","0","0","0","0","1","0","0","0"
"636","","","1","0","040Dh","1","0","1","1","0","0","0","0","0","0","1","0","0","0"
"638","","","1","0","040Ch","0","0","1","1","0","0","0","0","0","0","1","0","0","0"
"640","","","1","0","040Bh","1","1","0","1","0","0","0","0","0","0","1","0","0","0"
"642","","","1","0","040Dh","1","0","1","1","0","0","0","0","0","0","1","0","0","0"
"644","","","1","0","040Eh","0","1","1","1","0","0","0","0","0","0","1","0","0","0"
"646","","","1","0","040Fh","1","1","1","1","0","0","0","0","0","0","1","0","0","0"
"648","","","1","0","040Eh","0","1","1","1","0","0","0","0","0","0","1","0","0","0"
"650","","","1","0","040Dh","1","0","1","1","0","0","0","0","0","0","1","0","0","0"
"652","","","1","0","040Ch","0","0","1","1","0","0","0","0","0","0","1","0","0","0"
"654","","","1","0","0411h","1","0","0","0","1","0","0","0","0","0","1","0","0","0"
"656","","","1","0","040Eh","0","1","1","1","0","0","0","0","0","0","1","0","0","0"
"658","","","1","0","040Fh","1","1","1","1","0","0","0","0","0","0","1","0","0","0"
"660","","","1","0","0412h","0","1","0","0","1","0","0","0","0","0","1","0","0","0"
"662","","","1","0","040Fh","1","1","1","1","0","0","0","0","0","0","1","0","0","0"
"664","","","1","0","040Dh","1","0","1","1","0","0","0","0","0","0","1","0","0","0"
"666","","","1","0","040Eh","0","1","1","1","0","0","0","0","0","0","1","0","0","0"
"668","","","1","0","040Fh","1","1","1","1","0","0","0","0","0","0","1","0","0","0"
"670","","","1","0","040Bh","1","1","0","1","0","0","0","0","0","0","1","0","0","0"
"672","","","1","0","0411h","1","0","0","0","1","0","0","0","0","0","1","0","0","0"
"674","","","1","0","040Ch","0","0","1","1","0","0","0","0","0","0","1","0","0","0"
"676","","","1","0","0412h","0","1","0","0","1","0","0","0","0","0","1","0","0","0"
"678","","","1","0","040Fh","1","1","1","1","0","0","0","0","0","0","1","0","0","0"
"680","","","1","0","040Dh","1","0","1","1","0","0","0","0","0","0","1","0","0","0"
"682","","","1","0","040Fh","1","1","1","1","0","0","0","0","0","0","1","0","0","0"
"684","","","1","0","040Dh","1","0","1","1","0","0","0","0","0","0","1","0","0","0"
"686","","","1","0","040Ah","0","1","0","1","0","0","0","0","0","0","1","0","0","0"
"688","","","1","0","040Ch","0","0","1","1","0","0","0","0","0","0","1","0","0","0"
"692","","","1","0","040Fh","1","1","1","1","0","0","0","0","0","0","1","0","0","0"
"698","","","1","0","040Dh","1","0","1","1","0","0","0","0","0","0","1","0","0","0"
"700","","","1","0","040Eh","0","1","1","1","0","0","0","0","0","0","1","0","0","0"
"702","","","1","0","040Bh","1","1","0","1","0","0","0","0","0","0","1","0","0","0"
"704","","","1","0","040Ch","0","0","1","1","0","0","0","0","0","0","1","0","0","0"
"706","","","1","0","040Eh","0","1","1","1","0","0","0","0","0","0","1","0","0","0"
"708","","","1","0","040Dh","1","0","1","1","0","0","0","0","0","0","1","0","0","0"
"710","","","1","0","040Eh","0","1","1","1","0","0","0","0","0","0","1","0","0","0"
"712","","","1","0","040Dh","1","0","1","1","0","0","0","0","0","0","1","0","0","0"
"716","","","1","0","040Eh","0","1","1","1","0","0","0","0","0","0","1","0","0","0"
"718","","","1","0","040Bh","1","1","0","1","0","0","0","0","0","0","1","0","0","0"
"720","","","1","0","040Eh","0","1","1","1","0","0","0","0","0","0","1","0","0","0"
