EPOCH_TIME                ALARM_STATUS              INST_STATUS               Delta_High_Conc_Raw_iCH4  C13_Delta_Raw             CH4                       ValveMask                 GPS_ABS_LAT               GPS_ABS_LONG              GPS_FIT                   
1321423442.043            0                         963                       -1.3510139726E+001        -3.3572390329E+001        2.8843695079E+000         6.0000000000E+000         3.7380765488E+001         -1.2197788787E+002        1.0000000000E+000         
1321423442.651            0                         963                       -1.3510139726E+001        -3.3572390329E+001        2.8843695079E+000         6.0000000000E+000         3.7380765315E+001         -1.2197788815E+002        1.0000000000E+000         
1321423443.591            0                         963                       -1.4084603120E+001        -2.7946815352E+001        2.8314547940E+000         5.0000000000E+000         3.7380759036E+001         -1.2197788842E+002        1.0000000000E+000         
1321423444.534            0                         963                       -1.8318313749E+001        -4.3335928607E+001        2.8136543075E+000         5.0000000000E+000         3.7380736328E+001         -1.2197788858E+002        1.0000000000E+000         
1321423445.483            0                         963                       -1.3753381306E+001        -3.6683923360E+001        2.7988673370E+000         5.0000000000E+000         3.7380693292E+001         -1.2197788831E+002        1.0000000000E+000         
1321423446.427            0                         963                       -1.1018239976E+001        -3.6097768170E+001        2.7911000600E+000         5.0000000000E+000         3.7380634374E+001         -1.2197788774E+002        1.0000000000E+000         
1321423447.492            0                         963                       -1.0467330058E+001        -3.4236330559E+001        2.8117318137E+000         5.0000000000E+000         3.7380559858E+001         -1.2197788670E+002        1.0000000000E+000         
1321423448.016            0                         963                       -1.8353631842E+001        -4.0616048652E+001        2.7782398909E+000         5.0000000000E+000         3.7380469877E+001         -1.2197788561E+002        1.0000000000E+000         
1321423448.639            0                         963                       -1.8353631842E+001        -4.0616048652E+001        2.7782398909E+000         5.0000000000E+000         3.7380368576E+001         -1.2197788462E+002        1.0000000000E+000         
1321423449.589            0                         963                       -8.0695429247E+000        -3.2170573908E+001        2.7619149553E+000         5.0000000000E+000         3.7380254776E+001         -1.2197788420E+002        1.0000000000E+000         
1321423450.518            0                         963                       -1.8070801545E+001        -3.8357488677E+001        2.7575878785E+000         5.0000000000E+000         3.7380128793E+001         -1.2197788379E+002        1.0000000000E+000         
1321423451.462            0                         963                       -1.3466240044E+001        -3.8508392565E+001        2.7560227118E+000         5.0000000000E+000         3.7379995517E+001         -1.2197788284E+002        1.0000000000E+000         
1321423452.402            0                         963                       -1.3416712283E+001        -3.6439849297E+001        2.7579112928E+000         5.0000000000E+000         3.7379854424E+001         -1.2197788192E+002        1.0000000000E+000         
