EPOCH_TIME                ALARM_STATUS              GPS_ABS_LONG              GPS_ABS_LAT               CH4                       
1316252950.581            0                         -1.2244245783e+02         3.7782578796e+01          1.8506344892e+00          
1316252951.696            0                         -1.2244247909e+02         3.7782589248e+01          1.8506173620e+00          
1316252952.847            0                         -1.2244250080e+02         3.7782600494e+01          1.8517025751e+00          
1316252953.949            0                         -1.2244252136e+02         3.7782611975e+01          1.8534628734e+00          
1316252955.123            0                         -1.2244254321e+02         3.7782625231e+01          1.8536389416e+00          
1316252956.290            0                         -1.2244256269e+02         3.7782638514e+01          1.8541403353e+00          
1316252957.408            0                         -1.2244257897e+02         3.7782650443e+01          1.8540114115e+00          
1316252958.529            0                         -1.2244259401e+02         3.7782662653e+01          1.8561629924e+00          
1316252959.671            0                         -1.2244260727e+02         3.7782674252e+01          1.8551075013e+00          
1316252960.804            0                         -1.2244261917e+02         3.7782685103e+01          1.8557334426e+00          
1316252961.897            0                         -1.2244262959e+02         3.7782695172e+01          1.8569159110e+00          
1316252963.049            0                         -1.2244263976e+02         3.7782705965e+01          1.8583134450e+00          
1316252964.218            0                         -1.2244264775e+02         3.7782714409e+01          1.8573868238e+00          
1316252965.399            0                         -1.2244265458e+02         3.7782722495e+01          1.8594087650e+00          
1316252966.509            0                         -1.2244266458e+02         3.7782735302e+01          1.8587110998e+00          
1316252967.643            0                         -1.2244267679e+02         3.7782753070e+01          1.8646802308e+00          
1316252968.788            0                         -1.2244269003e+02         3.7782774966e+01          1.8808458210e+00          
1316252969.888            0                         -1.2244270167e+02         3.7782796284e+01          1.8881665818e+00          
1316252971.064            0                         -1.2244271329e+02         3.7782818862e+01          1.9017695125e+00          
1316252972.191            0                         -1.2244272475e+02         3.7782841639e+01          1.9398451014e+00          
1316252973.339            0                         -1.2244273652e+02         3.7782865512e+01          1.9708016048e+00          
1316252974.491            0                         -1.2244274816e+02         3.7782890141e+01          2.0396522575e+00          
1316252975.585            0                         -1.2244275980e+02         3.7782914974e+01          2.0578155671e+00          
1316252976.739            0                         -1.2244277216e+02         3.7782942871e+01          2.0614154213e+00          
1316252977.845            0                         -1.2244278360e+02         3.7782970112e+01          2.0687584872e+00          
1316252978.955            0                         -1.2244279452e+02         3.7782997710e+01          2.0411390621e+00          
