"SamplePeriod","TriggerSample","CompressedData"
"0.00000002","1278","True"
"SampleNumber","DSP_I2C0","DSP_I2C1","Clock2","Clock1","ADCout","Data0","Data1","Data2","Data3","Data4","Data5","Data6","Data7","Data8","Data9","Data10","Data11","Data12","Data13"
"170","","","1","0","034Fh","1","1","1","1","0","0","1","0","1","1","0","0","0","0"
"172","","","1","0","0350h","0","0","0","0","1","0","1","0","1","1","0","0","0","0"
"178","","","1","0","034Fh","1","1","1","1","0","0","1","0","1","1","0","0","0","0"
"180","","","1","0","0352h","0","1","0","0","1","0","1","0","1","1","0","0","0","0"
"182","","","1","0","034Fh","1","1","1","1","0","0","1","0","1","1","0","0","0","0"
"184","","","1","0","034Eh","0","1","1","1","0","0","1","0","1","1","0","0","0","0"
"186","","","1","0","0351h","1","0","0","0","1","0","1","0","1","1","0","0","0","0"
"188","","","1","0","034Eh","0","1","1","1","0","0","1","0","1","1","0","0","0","0"
"192","","","1","0","0350h","0","0","0","0","1","0","1","0","1","1","0","0","0","0"
"194","","","1","0","034Fh","1","1","1","1","0","0","1","0","1","1","0","0","0","0"
"196","","","1","0","0351h","1","0","0","0","1","0","1","0","1","1","0","0","0","0"
"198","","","1","0","0350h","0","0","0","0","1","0","1","0","1","1","0","0","0","0"
"200","","","1","0","034Fh","1","1","1","1","0","0","1","0","1","1","0","0","0","0"
"202","","","1","0","0351h","1","0","0","0","1","0","1","0","1","1","0","0","0","0"
"204","","","1","0","0350h","0","0","0","0","1","0","1","0","1","1","0","0","0","0"
"206","","","1","0","034Eh","0","1","1","1","0","0","1","0","1","1","0","0","0","0"
"208","","","1","0","0351h","1","0","0","0","1","0","1","0","1","1","0","0","0","0"
"210","","","1","0","0352h","0","1","0","0","1","0","1","0","1","1","0","0","0","0"
"212","","","1","0","034Eh","0","1","1","1","0","0","1","0","1","1","0","0","0","0"
"214","","","1","0","0351h","1","0","0","0","1","0","1","0","1","1","0","0","0","0"
"218","","","1","0","0352h","0","1","0","0","1","0","1","0","1","1","0","0","0","0"
"220","","","1","0","034Fh","1","1","1","1","0","0","1","0","1","1","0","0","0","0"
"222","","","1","0","034Dh","1","0","1","1","0","0","1","0","1","1","0","0","0","0"
"224","","","1","0","034Eh","0","1","1","1","0","0","1","0","1","1","0","0","0","0"
"226","","","1","0","0353h","1","1","0","0","1","0","1","0","1","1","0","0","0","0"
"228","","","1","0","034Eh","0","1","1","1","0","0","1","0","1","1","0","0","0","0"
"230","","","1","0","0350h","0","0","0","0","1","0","1","0","1","1","0","0","0","0"
"236","","","1","0","034Dh","1","0","1","1","0","0","1","0","1","1","0","0","0","0"
"238","","","1","0","034Eh","0","1","1","1","0","0","1","0","1","1","0","0","0","0"
"240","","","1","0","034Fh","1","1","1","1","0","0","1","0","1","1","0","0","0","0"
"244","","","1","0","0351h","1","0","0","0","1","0","1","0","1","1","0","0","0","0"
"248","","","1","0","0350h","0","0","0","0","1","0","1","0","1","1","0","0","0","0"
"250","","","1","0","0352h","0","1","0","0","1","0","1","0","1","1","0","0","0","0"
"252","","","1","0","034Eh","0","1","1","1","0","0","1","0","1","1","0","0","0","0"
"254","","","1","0","0351h","1","0","0","0","1","0","1","0","1","1","0","0","0","0"
"256","","","1","0","0352h","0","1","0","0","1","0","1","0","1","1","0","0","0","0"
"258","","","1","0","034Fh","1","1","1","1","0","0","1","0","1","1","0","0","0","0"
"260","","","1","0","0350h","0","0","0","0","1","0","1","0","1","1","0","0","0","0"
"268","","","1","0","034Fh","1","1","1","1","0","0","1","0","1","1","0","0","0","0"
"270","","","1","0","0352h","0","1","0","0","1","0","1","0","1","1","0","0","0","0"
"272","","","1","0","0350h","0","0","0","0","1","0","1","0","1","1","0","0","0","0"
