y_parameter,  pressure,   date_time,     slope, intercept,                         comment
          ,          ,            ,          ,          ,         scale(orig)=6.93792e-05
          ,          ,            ,          ,          ,         offset(orig)=   7.01238
          ,          ,            ,          ,          ,                  P(atm)=767.315
          ,          ,            ,          ,          ,             P(cav_open)=777.905
    0.8419,  174.3631,1492713518.0,  202.1360,    4.5068,                                
    0.8398,  174.1360,1492713519.3,  202.5879,    4.0818,                                
    0.8381,  173.8916,1492713520.7,  202.8543,    3.8426,                                
    0.8377,  173.6320,1492713522.2,  202.3350,    4.3242,                                
    0.8433,  173.3841,1492713523.6,  202.3350,    4.3242,                                
    0.8347,  173.1446,1492713525.0,  202.2405,    4.4125,                                
    0.8376,  172.9160,1492713526.4,  202.4272,    4.2380,                                
    0.8366,  172.6821,1492713527.7,  202.7418,    3.9441,                                
    0.8265,  172.4527,1492713529.0,  202.8718,    3.8413,                                
    0.8290,  172.2100,1492713530.4,  203.1137,    3.6160,                                
    0.8326,  171.9685,1492713531.9,  203.1137,    3.6160,                                
    0.8320,  171.7335,1492713533.2,  203.1137,    3.6160,                                
    0.8341,  171.4929,1492713534.6,  203.1793,    3.5550,                                
    0.8251,  171.2269,1492713536.2,  202.9450,    3.7725,                                
    0.8261,  170.9924,1492713537.5,  203.2758,    3.4647,                                
    0.8206,  170.7551,1492713538.9,  203.2250,    3.5120,                                
    0.8239,  170.5326,1492713540.2,  203.7586,    3.0153,                                
    0.8194,  170.3040,1492713541.6,  203.8333,    2.9459,                                
    0.8258,  170.0751,1492713542.9,  203.8289,    2.9499,                                
    0.8174,  169.8395,1492713544.3,  203.7883,    2.9876,                                
    0.8197,  169.5873,1492713545.7,  203.7883,    2.9876,                                
    0.8158,  169.3476,1492713547.1,  203.8128,    2.9649,                                
    0.8147,  169.1072,1492713548.5,  204.3082,    2.5047,                                
    0.8132,  168.8579,1492713549.9,  204.3912,    2.4335,                                
    0.8075,  168.6275,1492713551.3,  204.6516,    2.1926,                                
    0.8159,  168.3796,1492713552.7,  204.9064,    1.9569,                                
    0.8137,  168.1531,1492713554.0,  204.9064,    1.9569,                                
    0.8127,  167.9093,1492713555.5,  204.7608,    2.0911,                                
    0.8117,  167.6662,1492713556.9,  204.9744,    1.8939,                                
    0.8058,  167.4305,1492713558.2,  204.7871,    2.0660,                                
    0.8106,  167.1863,1492713559.6,  205.2186,    1.6673,                                
    0.8069,  166.9360,1492713561.1,  205.2186,    1.6673,                                
    0.8079,  166.7148,1492713562.4,  205.2186,    1.6673,                                
    0.8046,  166.4930,1492713563.6,  205.2917,    1.6000,                                
    0.8078,  166.2729,1492713564.9,  205.2917,    1.6000,                                
    0.7965,  166.0479,1492713566.2,  204.8171,    2.0250,                                
    0.8039,  165.8160,1492713567.5,  204.6665,    2.1633,                                
    0.7992,  165.5862,1492713568.9,  204.9913,    1.8643,                                
    0.7937,  165.3369,1492713570.3,  204.9388,    1.9163,                                
    0.7989,  165.0894,1492713571.8,  205.0362,    1.8269,                                
    0.7949,  164.8523,1492713573.1,  205.0362,    1.8269,                                
    0.7952,  164.6114,1492713574.5,  204.9593,    1.8974,                                
    0.7966,  164.3762,1492713575.9,  204.9593,    1.8974,                                
    0.7908,  164.1429,1492713577.2,  204.8020,    2.0414,                                
    0.7899,  163.8794,1492713578.7,  204.8020,    2.0414,                                
    0.7887,  163.6189,1492713580.2,  205.0195,    1.8422,                                
    0.7867,  163.3636,1492713581.7,  205.1661,    1.7079,                                
    0.7920,  163.1090,1492713583.2,  205.3158,    1.5708,                                
    0.7806,  162.8578,1492713584.6,  205.3221,    1.5760,                                
    0.7830,  162.6177,1492713586.0,  205.2075,    1.6806,                                
    0.7840,  162.3896,1492713587.3,  205.4252,    1.4816,                                
    0.7808,  162.1434,1492713588.7,  205.5037,    1.4100,                                
    0.7746,  161.8948,1492713590.2,  205.6864,    1.2432,                                
    0.7769,  161.6508,1492713591.6,  205.7475,    1.1874,                                
    0.7765,  161.4105,1492713593.0,  205.7475,    1.1874,                                
    0.7767,  161.1696,1492713594.4,  206.0161,    0.9422,                                
    0.7692,  160.9406,1492713595.7,  205.5672,    1.3409,                                
    0.7771,  160.6946,1492713597.1,  205.7589,    1.1665,                                
    0.7663,  160.4640,1492713598.5,  205.8438,    1.0937,                                
    0.7743,  160.2008,1492713600.0,  205.6122,    1.3036,                                
    0.7668,  159.9490,1492713601.4,  205.7270,    1.1994,                                
    0.7718,  159.7047,1492713602.8,  205.6955,    1.2279,                                
    0.7688,  159.4636,1492713604.2,  205.7419,    1.1859,                                
    0.7713,  159.2170,1492713605.7,  205.9042,    1.0386,                                
    0.7634,  158.9919,1492713606.9,  206.0485,    0.9200,                                
