EPOCH_TIME                ALARM_STATUS              CH4                       GPS_TIME                  GPS_ABS_LAT               GPS_REL_LAT               GPS_ABS_LONG              GPS_REL_LONG              GPS_FIT                   
1316238561.873            0                         1.8134127573E+000         2.0961000000E+004         3.7632404285E+001         6.3240428494E-001         -1.2240103289E+002        -4.0103288826E-001        2.0000000000E+000         
1316238562.958            0                         1.8118264238E+000         2.0962000000E+004         3.7632496202E+001         6.3249620171E-001         -1.2240112423E+002        -4.0112422718E-001        2.0000000000E+000         
1316238564.051            0                         1.8143519158E+000         2.0963000000E+004         3.7632586837E+001         6.3258683740E-001         -1.2240123413E+002        -4.0123412741E-001        2.0000000000E+000         
1316238565.129            0                         1.8131036271E+000         2.0965000000E+004         3.7632670275E+001         6.3267027472E-001         -1.2240136171E+002        -4.0136171108E-001        2.0000000000E+000         
1316238566.205            0                         1.8133749351E+000         2.0966000000E+004         3.7632749630E+001         6.3274963002E-001         -1.2240150255E+002        -4.0150255207E-001        2.0000000000E+000         
1316238567.274            0                         1.8143624561E+000         2.0967000000E+004         3.7632829017E+001         6.3282901670E-001         -1.2240164939E+002        -4.0164938585E-001        2.0000000000E+000         
1316238568.362            0                         1.8169605201E+000         2.0968000000E+004         3.7632912175E+001         6.3291217455E-001         -1.2240180086E+002        -4.0180086098E-001        2.0000000000E+000         
1316238569.447            0                         1.8161058484E+000         2.0969000000E+004         3.7632998145E+001         6.3299814504E-001         -1.2240194991E+002        -4.0194991123E-001        2.0000000000E+000         
1316238570.513            0                         1.8176661800E+000         2.0970000000E+004         3.7633089529E+001         6.3308952853E-001         -1.2240208944E+002        -4.0208944013E-001        2.0000000000E+000         
1316238571.593            0                         1.8172107123E+000         2.0971000000E+004         3.7633193872E+001         6.3319387218E-001         -1.2240221555E+002        -4.0221554732E-001        2.0000000000E+000         
1316238572.668            0                         1.8155974700E+000         2.0972000000E+004         3.7633313855E+001         6.3331385477E-001         -1.2240231788E+002        -4.0231787741E-001        2.0000000000E+000         
1316238573.765            0                         1.8179273004E+000         2.0973000000E+004         3.7633453444E+001         6.3345344356E-001         -1.2240239662E+002        -4.0239661820E-001        2.0000000000E+000         
1316238574.876            0                         1.8197968327E+000         2.0974000000E+004         3.7633609309E+001         6.3360930915E-001         -1.2240245241E+002        -4.0245241250E-001        2.0000000000E+000         
1316238575.953            0                         1.8222932713E+000         2.0975000000E+004         3.7633771566E+001         6.3377156563E-001         -1.2240249282E+002        -4.0249282421E-001        2.0000000000E+000         
1316238577.062            0                         1.8211918905E+000         2.0976000000E+004         3.7633948071E+001         6.3394807083E-001         -1.2240253071E+002        -4.0253071045E-001        2.0000000000E+000         
1316238578.156            0                         1.8190577692E+000         2.0978000000E+004         3.7634130765E+001         6.3413076476E-001         -1.2240256891E+002        -4.0256891168E-001        2.0000000000E+000         
1316238579.231            0                         1.8163726324E+000         2.0979000000E+004         3.7634317052E+001         6.3431705224E-001         -1.2240260948E+002        -4.0260948123E-001        2.0000000000E+000         
1316238580.293            0                         1.8154948489E+000         2.0980000000E+004         3.7634505428E+001         6.3450542805E-001         -1.2240265406E+002        -4.0265405521E-001        2.0000000000E+000         
1316238581.383            0                         1.8150187903E+000         2.0981000000E+004         3.7634701818E+001         6.3470181782E-001         -1.2240270368E+002        -4.0270368183E-001        2.0000000000E+000         
1316238582.454            0                         1.8166953185E+000         2.0982000000E+004         3.7634897798E+001         6.3489779760E-001         -1.2240275529E+002        -4.0275528562E-001        2.0000000000E+000         
1316238583.514            0                         1.8191971345E+000         2.0983000000E+004         3.7635094182E+001         6.3509418214E-001         -1.2240281103E+002        -4.0281102591E-001        2.0000000000E+000         
1316238584.596            0                         1.8166849807E+000         2.0984000000E+004         3.7635294868E+001         6.3529486775E-001         -1.2240287753E+002        -4.0287752529E-001        2.0000000000E+000         
1316238585.684            0                         1.8173333559E+000         2.0985000000E+004         3.7635495171E+001         6.3549517109E-001         -1.2240295302E+002        -4.0295301660E-001        2.0000000000E+000         
1316238586.745            0                         1.8174631393E+000         2.0986000000E+004         3.7635690569E+001         6.3569056924E-001         -1.2240303117E+002        -4.0303117097E-001        2.0000000000E+000         
1316238587.801            0                         1.8174299501E+000         2.0987000000E+004         3.7635884305E+001         6.3588430482E-001         -1.2240312155E+002        -4.0312154681E-001        2.0000000000E+000         
1316238588.888            0                         1.8230170242E+000         2.0988000000E+004         3.7636079159E+001         6.3607915881E-001         -1.2240322196E+002        -4.0322196258E-001        2.0000000000E+000         
1316238590.022            0                         1.8286653505E+000         2.0989000000E+004         3.7636262985E+001         6.3626298458E-001         -1.2240331451E+002        -4.0331450537E-001        2.0000000000E+000         
1316238591.135            0                         1.8262102388E+000         2.0990000000E+004         3.7636272357E+001         6.3627235650E-001         -1.2240331918E+002        -4.0331918250E-001        0.0000000000E+000         
1316238592.198            0                         1.8183245042E+000         2.0990000000E+004         3.7636272357E+001         6.3627235650E-001         -1.2240331918E+002        -4.0331918250E-001        0.0000000000E+000         
1316238593.308            0                         1.8123322007E+000         2.0990000000E+004         3.7636272357E+001         6.3627235650E-001         -1.2240331918E+002        -4.0331918250E-001        0.0000000000E+000         
1316238594.393            0                         1.8119331709E+000         2.0990000000E+004         3.7636272357E+001         6.3627235650E-001         -1.2240331918E+002        -4.0331918250E-001        0.0000000000E+000         
1316238595.530            0                         1.8110338996E+000         2.0992000000E+004         3.7636726444E+001         6.3672644389E-001         -1.2240370109E+002        -4.0370108791E-001        0.0000000000E+000         
1316238596.649            0                         1.8127045376E+000         2.0996000000E+004         3.7637383819E+001         6.3738381944E-001         -1.2240418544E+002        -4.0418544498E-001        2.0000000000E+000         
1316238597.740            0                         1.8162330747E+000         2.0997000000E+004         3.7637592945E+001         6.3759294458E-001         -1.2240427578E+002        -4.0427578267E-001        2.0000000000E+000         
1316238598.863            0                         1.8202510004E+000         2.0998000000E+004         3.7637822790E+001         6.3782278965E-001         -1.2240441027E+002        -4.0441027000E-001        2.0000000000E+000         
1316238599.966            0                         1.8228376280E+000         2.0999000000E+004         3.7638051595E+001         6.3805159504E-001         -1.2240454012E+002        -4.0454012413E-001        2.0000000000E+000         
1316238600.999            0                         1.8280903042E+000         2.1000000000E+004         3.7638267527E+001         6.3826752744E-001         -1.2240466093E+002        -4.0466093404E-001        2.0000000000E+000         
1316238602.079            0                         1.8299766210E+000         2.1001000000E+004         3.7638492427E+001         6.3849242701E-001         -1.2240478621E+002        -4.0478621016E-001        2.0000000000E+000         
1316238603.149            0                         1.8287471860E+000         2.1003000000E+004         3.7638717890E+001         6.3871788970E-001         -1.2240490253E+002        -4.0490252547E-001        2.0000000000E+000         
1316238604.212            0                         1.8254153423E+000         2.1004000000E+004         3.7638944374E+001         6.3894437447E-001         -1.2240501195E+002        -4.0501194973E-001        2.0000000000E+000         
1316238605.281            0                         1.8251395755E+000         2.1005000000E+004         3.7639174747E+001         6.3917474730E-001         -1.2240511606E+002        -4.0511606313E-001        2.0000000000E+000         
1316238606.386            0                         1.8250566748E+000         2.1006000000E+004         3.7639416355E+001         6.3941635502E-001         -1.2240521798E+002        -4.0521798058E-001        2.0000000000E+000         
1316238607.507            0                         1.8246278526E+000         2.1007000000E+004         3.7639665511E+001         6.3966551067E-001         -1.2240531477E+002        -4.0531476704E-001        2.0000000000E+000         
1316238608.596            0                         1.8205867642E+000         2.1008000000E+004         3.7639911640E+001         6.3991164037E-001         -1.2240540161E+002        -4.0540161277E-001        2.0000000000E+000         
1316238609.696            0                         1.8177711086E+000         2.1009000000E+004         3.7640163244E+001         6.4016324373E-001         -1.2240548351E+002        -4.0548350970E-001        2.0000000000E+000         
1316238610.766            0                         1.8165067360E+000         2.1010000000E+004         3.7640410226E+001         6.4041022643E-001         -1.2240555805E+002        -4.0555804834E-001        2.0000000000E+000         
