EPOCH_TIME                ALARM_STATUS              INST_STATUS               13CH4                     C13_Delta_Raw             CH4                       GPS_TIME                  GPS_ABS_LAT               GPS_REL_LAT               GPS_ABS_LONG              GPS_REL_LONG              GPS_FIT                   
1319755921.152            0                         963                       2.8545824575E-002         -4.4060601624E+001        2.3687371256E+000         8.2321000000E+004         3.7402545153E+001         4.0254515305E-001         -1.2198460109E+002        -9.8460108751E-001        2.0000000000E+000         
1319755921.631            0                         963                       2.8272372376E-002         -4.5368019647E+001        2.3687371256E+000         8.2321000000E+004         3.7402585265E+001         4.0258526451E-001         -1.2198458511E+002        -9.8458511478E-001        2.0000000000E+000         
1319755922.094            0                         963                       2.8272372376E-002         -4.5368019647E+001        2.3298868005E+000         8.2322000000E+004         3.7402624149E+001         4.0262414894E-001         -1.2198456939E+002        -9.8456938747E-001        2.0000000000E+000         
1319755922.481            0                         963                       2.7759447653E-002         -4.2763738037E+001        2.3298868005E+000         8.2322000000E+004         3.7402656770E+001         4.0265677033E-001         -1.2198455594E+002        -9.8455593599E-001        2.0000000000E+000         
1319755922.988            0                         963                       2.7759447653E-002         -4.2763738037E+001        2.3298868005E+000         8.2323000000E+004         3.7402699549E+001         4.0269954941E-001         -1.2198453828E+002        -9.8453827737E-001        2.0000000000E+000         
1319755923.443            0                         963                       2.7293137788E-002         -4.2763738037E+001        2.3298868005E+000         8.2323000000E+004         3.7402738100E+001         4.0273810020E-001         -1.2198452229E+002        -9.8452229451E-001        2.0000000000E+000         
1319755924.029            0                         963                       2.7293137788E-002         -4.2763738037E+001        2.2850206757E+000         8.2324000000E+004         3.7402787826E+001         4.0278782614E-001         -1.2198450181E+002        -9.8450180815E-001        2.0000000000E+000         
1319755924.497            0                         963                       2.7443384187E-002         -5.1724115854E+001        2.2850206757E+000         8.2324000000E+004         3.7402827734E+001         4.0282773398E-001         -1.2198448570E+002        -9.8448569912E-001        2.0000000000E+000         
1319755925.088            0                         963                       2.7443384187E-002         -5.1724115854E+001        2.2760566562E+000         8.2325000000E+004         3.7402877576E+001         4.0287757609E-001         -1.2198446582E+002        -9.8446581603E-001        2.0000000000E+000         
1319755925.556            0                         963                       2.7392596705E-002         -4.5678486048E+001        2.2760566562E+000         8.2325000000E+004         3.7402916174E+001         4.0291617368E-001         -1.2198445079E+002        -9.8445079362E-001        2.0000000000E+000         
1319755926.138            0                         963                       2.7392596705E-002         -4.5678486048E+001        2.2715397640E+000         8.2326000000E+004         3.7402963113E+001         4.0296311269E-001         -1.2198443355E+002        -9.8443354729E-001        2.0000000000E+000         
1319755926.589            0                         963                       2.7296545578E-002         -4.6398904870E+001        2.2715397640E+000         8.2326000000E+004         3.7402998380E+001         4.0299837954E-001         -1.2198442168E+002        -9.8442168088E-001        2.0000000000E+000         
1319755927.059            0                         963                       2.7296545578E-002         -4.6398904870E+001        2.2717553352E+000         8.2327000000E+004         3.7403033861E+001         4.0303386119E-001         -1.2198441015E+002        -9.8441015243E-001        2.0000000000E+000         
1319755927.529            0                         963                       2.7162915443E-002         -5.0671881870E+001        2.2717553352E+000         8.2327000000E+004         3.7403067079E+001         4.0306707922E-001         -1.2198440012E+002        -9.8440011628E-001        2.0000000000E+000         
1319755928.106            0                         963                       2.7162915443E-002         -5.0671881870E+001        2.2743752284E+000         8.2328000000E+004         3.7403105691E+001         4.0310569142E-001         -1.2198438866E+002        -9.8438866100E-001        2.0000000000E+000         
1319755928.573            0                         963                       2.7397312513E-002         -4.9689968036E+001        2.2743752284E+000         8.2328000000E+004         3.7403134010E+001         4.0313400960E-001         -1.2198438056E+002        -9.8438056058E-001        2.0000000000E+000         
1319755929.168            0                         963                       2.7397312513E-002         -4.9689968036E+001        2.2822300096E+000         8.2329000000E+004         3.7403166534E+001         4.0316653444E-001         -1.2198437154E+002        -9.8437153918E-001        2.0000000000E+000         
1319755929.562            0                         963                       2.7479956879E-002         -4.7277221068E+001        2.2822300096E+000         8.2329000000E+004         3.7403185388E+001         4.0318538754E-001         -1.2198436655E+002        -9.8436654642E-001        2.0000000000E+000         
1319755930.079            0                         963                       2.7479956879E-002         -4.7277221068E+001        2.2822300096E+000         8.2330000000E+004         3.7403207100E+001         4.0320709998E-001         -1.2198436089E+002        -9.8436089299E-001        2.0000000000E+000         
1319755930.544            0                         963                       2.7461260395E-002         -4.7277221068E+001        2.2822300096E+000         8.2330000000E+004         3.7403221905E+001         4.0322190488E-001         -1.2198435721E+002        -9.8435720988E-001        2.0000000000E+000         
1319755931.131            0                         963                       2.7461260395E-002         -4.7277221068E+001        2.2918125986E+000         8.2331000000E+004         3.7403236889E+001         4.0323688874E-001         -1.2198435362E+002        -9.8435361664E-001        2.0000000000E+000         
1319755931.595            0                         963                       2.7706076498E-002         -4.4962904190E+001        2.2918125986E+000         8.2331000000E+004         3.7403244528E+001         4.0324452788E-001         -1.2198435197E+002        -9.8435197493E-001        2.0000000000E+000         
1319755932.183            0                         963                       2.7706076498E-002         -4.4962904190E+001        2.2947653023E+000         8.2332000000E+004         3.7403250655E+001         4.0325065536E-001         -1.2198435068E+002        -9.8435068065E-001        2.0000000000E+000         
1319755932.657            0                         963                       2.7593416260E-002         -4.3818719968E+001        2.2947653023E+000         8.2332000000E+004         3.7403252711E+001         4.0325271102E-001         -1.2198435028E+002        -9.8435027538E-001        2.0000000000E+000         
1319755933.221            0                         963                       2.7593416260E-002         -4.3818719968E+001        2.2943466139E+000         8.2333000000E+004         3.7403253717E+001         4.0325371725E-001         -1.2198435012E+002        -9.8435011876E-001        2.0000000000E+000         
1319755933.682            0                         963                       2.7531260659E-002         -4.7286855767E+001        2.2943466139E+000         8.2333000000E+004         3.7403253711E+001         4.0325371134E-001         -1.2198435018E+002        -9.8435017807E-001        2.0000000000E+000         
1319755934.283            0                         963                       2.7531260659E-002         -4.7286855767E+001        2.2937052108E+000         8.2334000000E+004         3.7403253658E+001         4.0325365817E-001         -1.2198435023E+002        -9.8435023031E-001        2.0000000000E+000         
1319755934.742            0                         963                       2.7317839158E-002         -5.2014435543E+001        2.2937052108E+000         8.2334000000E+004         3.7403253599E+001         4.0325359918E-001         -1.2198435026E+002        -9.8435026007E-001        2.0000000000E+000         
1319755935.321            0                         963                       2.7317839158E-002         -5.2014435543E+001        2.2946873883E+000         8.2335000000E+004         3.7403253521E+001         4.0325352076E-001         -1.2198435029E+002        -9.8435029423E-001        2.0000000000E+000         
1319755935.779            0                         963                       2.7445844847E-002         -5.4010894396E+001        2.2946873883E+000         8.2335000000E+004         3.7403253458E+001         4.0325345763E-001         -1.2198435032E+002        -9.8435032034E-001        2.0000000000E+000         
1319755936.252            0                         963                       2.7445844847E-002         -5.4010894396E+001        2.2975248875E+000         8.2336000000E+004         3.7403253393E+001         4.0325339274E-001         -1.2198435032E+002        -9.8435032100E-001        2.0000000000E+000         
1319755936.647            0                         963                       2.7700865849E-002         -4.8203608944E+001        2.2975248875E+000         8.2336000000E+004         3.7403253339E+001         4.0325333862E-001         -1.2198435031E+002        -9.8435031481E-001        2.0000000000E+000         
1319755937.168            0                         963                       2.7700865849E-002         -4.8203608944E+001        2.2975248875E+000         8.2337000000E+004         3.7403253260E+001         4.0325326025E-001         -1.2198435032E+002        -9.8435032073E-001        2.0000000000E+000         
1319755937.653            0                         963                       2.7618431991E-002         -4.8203608944E+001        2.2975248875E+000         8.2337000000E+004         3.7403253182E+001         4.0325318160E-001         -1.2198435034E+002        -9.8435033770E-001        2.0000000000E+000         
1319755938.289            0                         963                       2.7618431991E-002         -4.8203608944E+001        2.2992969011E+000         8.2338000000E+004         3.7403253100E+001         4.0325310034E-001         -1.2198435036E+002        -9.8435036296E-001        2.0000000000E+000         
1319755938.761            0                         963                       2.7655255001E-002         -4.7031150712E+001        2.2992969011E+000         8.2338000000E+004         3.7403253050E+001         4.0325304968E-001         -1.2198435038E+002        -9.8435038302E-001        2.0000000000E+000         
1319755939.342            0                         963                       2.7655255001E-002         -4.7031150712E+001        2.3031221809E+000         8.2339000000E+004         3.7403252952E+001         4.0325295191E-001         -1.2198435041E+002        -9.8435040907E-001        2.0000000000E+000         
1319755939.803            0                         963                       2.7660758251E-002         -4.7953525065E+001        2.3031221809E+000         8.2339000000E+004         3.7403252866E+001         4.0325286632E-001         -1.2198435043E+002        -9.8435043004E-001        2.0000000000E+000         
1319755940.276            0                         963                       2.7660758251E-002         -4.7953525065E+001        2.3040971268E+000         8.2340000000E+004         3.7403252810E+001         4.0325280983E-001         -1.2198435046E+002        -9.8435045928E-001        2.0000000000E+000         
1319755940.737            0                         963                       2.7804592334E-002         -4.5646793404E+001        2.3040971268E+000         8.2340000000E+004         3.7403252762E+001         4.0325276166E-001         -1.2198435049E+002        -9.8435048948E-001        2.0000000000E+000         
1319755941.319            0                         963                       2.7804592334E-002         -4.5646793404E+001        2.3064729156E+000         8.2341000000E+004         3.7403252703E+001         4.0325270320E-001         -1.2198435051E+002        -9.8435051223E-001        2.0000000000E+000         
1319755941.797            0                         963                       2.7899672857E-002         -4.2485427333E+001        2.3064729156E+000         8.2341000000E+004         3.7403252656E+001         4.0325265587E-001         -1.2198435053E+002        -9.8435052641E-001        2.0000000000E+000         
1319755942.389            0                         963                       2.7899672857E-002         -4.2485427333E+001        2.3082441098E+000         8.2342000000E+004         3.7403252561E+001         4.0325256101E-001         -1.2198435052E+002        -9.8435052368E-001        2.0000000000E+000         
1319755942.852            0                         963                       2.7751721142E-002         -4.4106098250E+001        2.3082441098E+000         8.2342000000E+004         3.7403252482E+001         4.0325248152E-001         -1.2198435052E+002        -9.8435051858E-001        2.0000000000E+000         
1319755943.466            0                         963                       2.7751721142E-002         -4.4106098250E+001        2.3074109438E+000         8.2343000000E+004         3.7403252411E+001         4.0325241106E-001         -1.2198435054E+002        -9.8435054370E-001        2.0000000000E+000         
1319755943.874            0                         963                       2.7780503692E-002         -4.6017686789E+001        2.3074109438E+000         8.2343000000E+004         3.7403252366E+001         4.0325236578E-001         -1.2198435056E+002        -9.8435056179E-001        2.0000000000E+000         
1319755944.409            0                         963                       2.7780503692E-002         -4.6017686789E+001        2.3074109438E+000         8.2344000000E+004         3.7403252315E+001         4.0325231478E-001         -1.2198435058E+002        -9.8435057824E-001        2.0000000000E+000         
1319755944.899            0                         963                       2.7892404111E-002         -4.6017686789E+001        2.3074109438E+000         8.2345000000E+004         3.7403252268E+001         4.0325226777E-001         -1.2198435059E+002        -9.8435059233E-001        2.0000000000E+000         
1319755945.500            0                         963                       2.7892404111E-002         -4.6017686789E+001        2.3084706429E+000         8.2345000000E+004         3.7403252175E+001         4.0325217462E-001         -1.2198435056E+002        -9.8435055898E-001        2.0000000000E+000         
1319755945.954            0                         963                       2.7692211108E-002         -4.6774272009E+001        2.3084706429E+000         8.2346000000E+004         3.7403252110E+001         4.0325210979E-001         -1.2198435054E+002        -9.8435053860E-001        2.0000000000E+000         
1319755946.544            0                         963                       2.7692211108E-002         -4.6774272009E+001        2.3084922935E+000         8.2346000000E+004         3.7403252069E+001         4.0325206948E-001         -1.2198435055E+002        -9.8435055030E-001        2.0000000000E+000         
1319755947.030            0                         963                       2.7731797138E-002         -4.9679387915E+001        2.3084922935E+000         8.2347000000E+004         3.7403252026E+001         4.0325202560E-001         -1.2198435055E+002        -9.8435055250E-001        2.0000000000E+000         
1319755947.625            0                         963                       2.7731797138E-002         -4.9679387915E+001        2.3088868831E+000         8.2347000000E+004         3.7403251940E+001         4.0325193963E-001         -1.2198435053E+002        -9.8435053267E-001        2.0000000000E+000         
1319755948.089            0                         963                       2.7848584221E-002         -4.6958816784E+001        2.3088868831E+000         8.2348000000E+004         3.7403251877E+001         4.0325187699E-001         -1.2198435052E+002        -9.8435051806E-001        2.0000000000E+000         
1319755948.653            0                         963                       2.7848584221E-002         -4.6958816784E+001        2.3085064850E+000         8.2348000000E+004         3.7403251808E+001         4.0325180799E-001         -1.2198435050E+002        -9.8435050171E-001        2.0000000000E+000         
1319755949.121            0                         963                       2.7875718668E-002         -4.4244369353E+001        2.3085064850E+000         8.2349000000E+004         3.7403251758E+001         4.0325175790E-001         -1.2198435049E+002        -9.8435049418E-001        2.0000000000E+000         
1319755949.736            0                         963                       2.7875718668E-002         -4.4244369353E+001        2.3082519601E+000         8.2349000000E+004         3.7403251702E+001         4.0325170173E-001         -1.2198435049E+002        -9.8435049244E-001        2.0000000000E+000         
1319755950.231            0                         963                       2.7791071356E-002         -4.5072340755E+001        2.3082519601E+000         8.2350000000E+004         3.7403251641E+001         4.0325164146E-001         -1.2198435047E+002        -9.8435047046E-001        2.0000000000E+000         
1319755950.829            0                         963                       2.7791071356E-002         -4.5072340755E+001        2.3077436081E+000         8.2350000000E+004         3.7403251560E+001         4.0325156043E-001         -1.2198435043E+002        -9.8435043269E-001        2.0000000000E+000         
1319755951.219            0                         963                       2.7521589194E-002         -5.1253387217E+001        2.3077436081E+000         8.2351000000E+004         3.7403251577E+001         4.0325157706E-001         -1.2198435041E+002        -9.8435040717E-001        2.0000000000E+000         
1319755951.791            0                         963                       2.7521589194E-002         -5.1253387217E+001        2.3077436081E+000         8.2351000000E+004         3.7403251620E+001         4.0325162034E-001         -1.2198435037E+002        -9.8435036952E-001        2.0000000000E+000         
1319755952.265            0                         963                       2.7711601524E-002         -5.1253387217E+001        2.3077436081E+000         8.2352000000E+004         3.7403253073E+001         4.0325307265E-001         -1.2198435003E+002        -9.8435003238E-001        2.0000000000E+000         
1319755952.864            0                         963                       2.7711601524E-002         -5.1253387217E+001        2.3071164759E+000         8.2352000000E+004         3.7403255380E+001         4.0325538049E-001         -1.2198434950E+002        -9.8434950426E-001        2.0000000000E+000         
1319755953.329            0                         963                       2.7886324332E-002         -4.5341538588E+001        2.3071164759E+000         8.2353000000E+004         3.7403262640E+001         4.0326263951E-001         -1.2198434775E+002        -9.8434775277E-001        2.0000000000E+000         
1319755953.917            0                         963                       2.7886324332E-002         -4.5341538588E+001        2.3093473540E+000         8.2354000000E+004         3.7403272580E+001         4.0327258034E-001         -1.2198434538E+002        -9.8434538135E-001        2.0000000000E+000         
1319755954.392            0                         963                       2.7739662203E-002         -4.5655323287E+001        2.3093473540E+000         8.2354000000E+004         3.7403286523E+001         4.0328652262E-001         -1.2198434252E+002        -9.8434252280E-001        2.0000000000E+000         
1319755954.988            0                         963                       2.7739662203E-002         -4.5655323287E+001        2.3083100967E+000         8.2355000000E+004         3.7403304985E+001         4.0330498493E-001         -1.2198433896E+002        -9.8433895658E-001        2.0000000000E+000         
1319755955.461            0                         963                       2.7695974639E-002         -4.8665286647E+001        2.3083100967E+000         8.2355000000E+004         3.7403323543E+001         4.0332354261E-001         -1.2198433621E+002        -9.8433620908E-001        2.0000000000E+000         
1319755956.061            0                         963                       2.7695974639E-002         -4.8665286647E+001        2.3074063462E+000         8.2356000000E+004         3.7403348606E+001         4.0334860628E-001         -1.2198433337E+002        -9.8433337209E-001        2.0000000000E+000         
1319755956.523            0                         963                       2.7982255552E-002         -4.4036008681E+001        2.3074063462E+000         8.2356000000E+004         3.7403370848E+001         4.0337084789E-001         -1.2198433244E+002        -9.8433243977E-001        2.0000000000E+000         
1319755957.131            0                         963                       2.7982255552E-002         -4.4036008681E+001        2.3077747160E+000         8.2357000000E+004         3.7403400890E+001         4.0340088994E-001         -1.2198433311E+002        -9.8433311102E-001        2.0000000000E+000         
1319755957.601            0                         963                       2.7788246224E-002         -4.2426021046E+001        2.3077747160E+000         8.2357000000E+004         3.7403425022E+001         4.0342502170E-001         -1.2198433586E+002        -9.8433586444E-001        2.0000000000E+000         
