 71 7821.110454 1.268E-26 4.882E-05.04150.043  546.70420.81-.004519       a      0       X      0                P 19P 19     d5544444918 8 5 2 3    37.0   39.0
 72 7821.179247 3.305E-29 2.314E-05.04870.047  211.61630.84-.004239       a      0       X      0                O 12P 11     d56664449221411 2 3    21.0   23.0
 73 7821.938007 4.643E-30 5.632E-05.03920.041  585.19430.81-.004568       a      0       X      0                P 20Q 19     d56664449251411 2 3   234.0  234.0
 71 7822.221664 1.637E-26 2.156E-05.04950.050  188.85310.84-.004172       a      0       X      0                O 11P 10     d5544444918 8 5 2 3    19.0   21.0
 71 7822.391215 2.294E-29 5.318E-05.05430.054 1572.58380.840.000000       a      1       X      1                R  3Q  4     d46664049221411 2 0     9.0    9.0
 72 7822.413852 2.357E-29 5.108E-05.03920.041  571.34600.81-.004567       a      0       X      0                P 20P 20     d56664449221411 2 3    39.0   41.0
 71 7822.952440 1.473E-26 5.623E-05.04150.043  544.86220.81-.004520       a      0       X      0                P 19Q 18     d5544444918 8 5 2 3    37.0   37.0
 71 7823.249526 1.247E-29 4.754E-08.04390.043  544.56510.810.000000       a      0       X      0                P 19O 20     q54664049231411 2 0    37.0   41.0
 73 7823.609313 4.955E-30 4.879E-05.04040.041  531.36350.81-.004522       a      0       X      0                P 19P 19     d56664449251411 2 3   222.0  234.0
 72 7824.253830 2.731E-29 5.869E-05.03920.041  569.50610.81-.004568       a      0       X      0                P 20Q 19     d56664449221411 2 3    39.0   39.0
 73 7824.744308 6.115E-30 2.167E-05.04960.048  183.97770.84-.004172       a      0       X      0                O 11P 10     d56664449251411 2 3   114.0  126.0
 71 7825.333460 1.947E-29 5.422E-05.05550.056 1558.43700.840.000000       a      1       X      1                S  1R  2     d46664049221411 2 0     7.0    5.0
 73 7825.454850 5.776E-30 5.639E-05.04040.041  529.51800.81-.004523       a      0       X      0                P 19Q 18     d56664449251411 2 3   222.0  222.0
 71 7825.653832 4.840E-29 8.889E-05.05230.052 1600.13010.840.000000       a      1       X      1                R  5R  5     d46664049221411 2 0    13.0   11.0
 72 7825.827595 2.890E-29 5.078E-05.04040.041  517.17000.81-.004522       a      0       X      0                P 19P 19     d56664449221411 2 3    37.0   39.0
 72 7826.983549 3.416E-29 2.260E-05.04960.048  179.04750.84-.004172       a      0       X      0                O 11P 10     d56664449221411 2 3    19.0   21.0
 73 7827.079810 6.015E-30 4.846E-05.04160.042  478.46600.81-.004474       a      0       X      0                P 18P 18     d56664449251411 2 3   210.0  222.0
 71 7827.647844 3.143E-29 5.719E-05.05230.052 1598.13610.840.000000       a      1       X      1                R  5Q  6     d46664049221411 2 0    13.0   13.0
 72 7827.676215 3.373E-29 5.876E-05.04040.041  515.32140.81-.004523       a      0       X      0                P 19Q 18     d56664449221411 2 3    37.0   37.0
 71 7828.223466 1.862E-26 4.807E-05.04330.044  440.56180.83-.004421       a      0       X      0                P 17P 17     d5544444918 8 5 2 3    33.0   35.0
 73 7828.934357 7.069E-30 5.646E-05.04160.042  476.61150.81-.004475       a      0       X      0                P 18Q 17     d56664449251411 2 3   210.0  210.0
 72 7829.204904 3.484E-29 5.043E-05.04160.042  465.69000.81-.004474       a      0       X      0                P 18P 18     d56664449221411 2 3    35.0   37.0
 71 7830.084213 2.208E-26 5.651E-05.04330.044  438.70100.83-.004422       a      0       X      0                P 17Q 16     d5544444918 8 5 2 3    33.0   33.0
 71 7830.343883 1.828E-29 4.673E-08.04530.044  438.44130.870.000000       a      0       X      0                P 17O 18     q54664049231411 2 0    33.0   37.0
 73 7830.512877 7.174E-30 4.808E-05.04270.043  428.34040.83-.004423       a      0       X      0                P 17P 17     d56664449251411 2 3   198.0  210.0
 73 7830.672811 6.152E-30 2.102E-05.05040.049  153.29360.84-.004105       a      0       X      0                O 10P  9     d56664449251411 2 3   102.0  114.0
 71 7830.700326 4.878E-29 8.209E-05.05040.049 1637.08780.840.000000       a      1       X      1                R  7R  7     d46664049221411 2 0    17.0   15.0
 72 7831.062255 4.099E-29 5.882E-05.04160.042  463.83270.81-.004475       a      0       X      0                P 18Q 17     d56664449221411 2 3    35.0   35.0
 71 7832.258295 1.912E-29 3.134E-08.05480.053   79.60701.010.000000       a      0       X      0                N  7O  6     q54664049231411 5 0     9.0   13.0
 73 7832.376545 8.508E-30 5.654E-05.04270.043  426.47680.83-.004424       a      0       X      0                P 17Q 16     d56664449251411 2 3   198.0  198.0
 72 7832.545777 4.128E-29 5.004E-05.04270.043  416.90800.83-.004423       a      0       X      0                P 17P 17     d56664449221411 2 3    33.0   35.0
 71 7832.722219 3.535E-29 5.894E-05.05040.049 1635.06590.840.000000       a      1       X      1                R  7Q  8     d46664049221411 2 0    17.0   17.0
 72 7832.752810 3.423E-29 2.192E-05.05040.049  149.18710.84-.004105       a      0       X      0                O 10P  9     d56664449221411 2 3    17.0   19.0
 73 7833.908505 8.399E-30 4.765E-05.04380.043  380.98870.83-.005369       a      0       X      0                P 16P 16     d56664449251411 2 3   186.0  198.0
 71 7834.401509 1.611E-26 2.010E-05.05150.051  128.49200.84-.004029       a      0       X      0                O  9P  8     d5544444918 8 5 2 3    15.0   17.0
 72 7834.411962 4.902E-29 5.891E-05.04270.043  415.04180.83-.004424       a      0       X      0                P 17Q 16     d56664449221411 2 3    33.0   33.0
